"Word","Total_Frequency","Included_Frequency","ObsWithNgram","ObsPerct","IDF",1GRAMS,Min_1,Segmentation_None (),"200 Obs Included"
until,447,447,178,89,0.0506099933550872
listen,447,447,163,81.5,0.0888423912600234
hurry,445,445,159,79.5,0.0996328713435297
everyone,445,445,142,71,0.148741651280925
past,444,444,159,79.5,0.0996328713435297
speak,444,444,162,81,0.0915149811213502
show,442,442,164,82,0.0861861476162833
slytherin,441,441,96,48,0.318758762624413
mutter,440,440,165,82.5,0.0835460514500749
top,439,439,161,80.5,0.0942041196321314
vernon,439,439,36,18,0.744727494896694
die,438,438,146,73,0.136677139879544
wear,434,434,158,79,0.102372908709559
feeling,434,434,160,80,0.0969100130080564
dudley,433,433,43,21.5,0.667561540084395
owl,432,432,95,47.5,0.323306390375133
sitting,431,431,164,82,0.0861861476162833
same,430,430,171,85.5,0.0680338852718273
slightly,429,429,156,78,0.10790539730952
quickly,427,427,168,84,0.0757207139381183
stare,426,426,158,79,0.102372908709559
fire,426,426,139,69.5,0.158015195409886
onto,425,425,134,67,0.173925197299174
hope,424,424,158,79,0.102372908709559
quidditch,423,423,116,58,0.236572006437063
muggle,422,422,121,60.5,0.218244625347531
full,422,422,163,81.5,0.0888423912600234
sir,421,421,66,33,0.481486060122113
lord,420,420,91,45.5,0.341988603342888
castle,417,417,116,58,0.236572006437063
minute,413,413,155,77.5,0.11069829749369
corridor,413,413,114,57,0.244125144327509
potion,413,413,108,54,0.267606240177032
always,412,412,162,81,0.0915149811213502
stone,412,412,135,67.5,0.170696227168975
glass,411,411,137,68.5,0.164309428507574
anyone,410,410,169,84.5,0.0731432910503077
percy,409,409,74,37,0.431798275933005
shoulder,408,408,159,79.5,0.0996328713435297
father,408,408,122,61,0.214670164989233
sort,404,404,143,71.5,0.145693958198919
hide,403,403,151,75.5,0.122053048370812
friend,403,403,151,75.5,0.122053048370812
together,402,402,156,78,0.10790539730952
near,402,402,160,80,0.0969100130080564
someone,401,401,155,77.5,0.11069829749369
crouch,399,399,79,39.5,0.40340290437354
new,398,398,138,69,0.161150909262745
able,397,397,156,78,0.10790539730952
follow,397,397,153,76.5,0.116338564846382
class,395,395,84,42,0.3767507096021
coming,393,393,166,83,0.0809219076239261
almost,391,391,166,83,0.0809219076239261
appear,388,388,160,80,0.0969100130080564
later,386,386,153,76.5,0.116338564846382
feel,386,386,154,77,0.113509274827518
high,383,383,152,76,0.119186407719209
drop,383,383,154,77,0.113509274827518
everything,380,380,164,82,0.0861861476162833
miss,379,379,152,76,0.119186407719209
yell,379,379,130,65,0.187086643357144
wonder,379,379,160,80,0.0969100130080564
ter,378,378,48,24,0.619788758288394
notice,377,377,150,75,0.1249387366083
rest,375,375,162,81,0.0915149811213502
expect,374,374,150,75,0.1249387366083
scream,374,374,121,60.5,0.218244625347531
dead,374,374,147,73.5,0.133712660915805
girl,373,373,111,55.5,0.255707016877324
idea,373,373,155,77.5,0.11069829749369
lie,372,372,150,75,0.1249387366083
magical,372,372,132,66,0.180456064458131
slowly,370,370,150,75,0.1249387366083
clear,368,368,155,77.5,0.11069829749369
yeh,368,368,55,27.5,0.560667306169737
mother,367,367,124,62,0.207608310501746
understand,367,367,140,70,0.154901959985743
quietly,364,364,150,75,0.1249387366083
ear,363,363,145,72.5,0.139661993429006
far,358,358,157,78.5,0.105130343254747
crowd,358,358,108,54,0.267606240177032
beside,356,356,127,63.5,0.197226274708024
dementor,356,356,69,34.5,0.462180904926726
slughorn,356,356,25,12.5,0.903089986991944
half,355,355,144,72,0.142667503568732
lot,355,355,142,71,0.148741651280925
hour,353,353,154,77,0.113509274827518
continue,353,353,142,71,0.148741651280925
outside,352,352,152,76,0.119186407719209
sight,352,352,151,75.5,0.122053048370812
finger,352,352,139,69.5,0.158015195409886
whole,352,352,160,80,0.0969100130080564
chair,351,351,134,67,0.173925197299174
whether,351,351,150,75,0.1249387366083
glance,350,350,149,74.5,0.127843727251707
letter,348,348,99,49.5,0.305394801066431
corner,347,347,151,75.5,0.122053048370812
spell,347,347,122,61,0.214670164989233
sorry,346,346,144,72,0.142667503568732
answer,346,346,148,74,0.130768280269024
i'd,346,346,135,67.5,0.170696227168975
kept,345,345,160,80,0.0969100130080564
caught,344,344,154,77,0.113509274827518
leg,343,343,136,68,0.167491087293764
best,343,343,158,79,0.102372908709559
aunt,341,341,54,27,0.568636235841013
silence,341,341,155,77.5,0.11069829749369
empty,341,341,151,75.5,0.122053048370812
#,341,341,81,40.5,0.392544976785331
luna,341,341,41,20.5,0.688246138944246
draw,340,340,149,74.5,0.127843727251707
life,340,340,143,71.5,0.145693958198919
cold,339,339,142,71,0.148741651280925
stay,338,338,143,71.5,0.145693958198919
become,338,338,149,74.5,0.127843727251707
madam,336,336,85,42.5,0.371611069949688
fly,335,335,125,62.5,0.204119982655925
witch,335,335,116,58,0.236572006437063
nearly,331,331,139,69.5,0.158015195409886
order,330,330,125,62.5,0.204119982655925
forget,327,327,146,73,0.136677139879544
several,326,326,147,73.5,0.133712660915805
force,326,326,139,69.5,0.158015195409886
nose,325,325,134,67,0.173925197299174
family,325,325,111,55.5,0.255707016877324
tree,324,324,90,45,0.346787486224656
hit,324,324,132,66,0.180456064458131
er,318,318,129,64.5,0.190440285364732
loud,318,318,139,69.5,0.158015195409886
cedric,318,318,39,19.5,0.709965388637482
since,317,317,151,75.5,0.122053048370812
add,317,317,140,70,0.154901959985743
body,316,316,122,61,0.214670164989233
curse,316,316,112,56,0.2518119729938
enter,315,315,141,70.5,0.151810883008601
deep,315,315,140,70,0.154901959985743
scar,313,313,101,50.5,0.296708621881339
fall,313,313,146,73,0.136677139879544
write,312,312,122,61,0.214670164989233
alone,311,311,146,73,0.136677139879544
kreacher,310,310,24,12,0.920818753952375
carry,309,309,155,77.5,0.11069829749369
charm,309,309,130,65,0.187086643357144
riddle,308,308,31,15.5,0.809668301829709
dursley,307,307,61,30.5,0.515700160653214
worry,307,307,135,67.5,0.170696227168975
taking,307,307,146,73,0.136677139879544
desk,307,307,93,46.5,0.332547047110046
finish,306,306,147,73.5,0.133712660915805
making,306,306,143,71.5,0.145693958198919
lesson,305,305,92,46,0.337242168318426
attack,305,305,116,58,0.236572006437063
sign,303,303,131,65.5,0.183758700008217
bill,303,303,49,24.5,0.610833915635468
morning,302,302,137,68.5,0.164309428507574
hat,302,302,97,48.5,0.314258261397736
loudly,301,301,139,69.5,0.158015195409886
cry,299,299,130,65,0.187086643357144
teacher,298,298,109,54.5,0.263603497723358
towards,298,298,49,24.5,0.610833915635468
water,296,296,102,51,0.292429823902064
seat,294,294,102,51,0.292429823902064
red,294,294,131,65.5,0.183758700008217
dear,293,293,108,54,0.267606240177032
week,292,292,124,62,0.207608310501746
care,292,292,134,67,0.173925197299174
perhaps,290,290,133,66.5,0.177178354696895
heart,290,290,132,66,0.180456064458131
stuff,289,289,135,67.5,0.170696227168975
fast,289,289,140,70,0.154901959985743
shut,289,289,131,65.5,0.183758700008217
petunia,287,287,34,17,0.769551078621726
team,286,286,66,33,0.481486060122113
you'd,285,285,138,69,0.161150909262745
thinking,284,284,136,68,0.167491087293764
nobody,284,284,139,69.5,0.158015195409886
such,283,283,138,69,0.161150909262745
round,282,282,128,64,0.193820026016113
cup,281,281,93,46.5,0.332547047110046
wave,280,280,136,68,0.167491087293764
wish,280,280,131,65.5,0.183758700008217
minister,280,280,62,31,0.508638306165727
matter,280,280,145,72.5,0.139661993429006
common,279,279,100,50,0.301029995663981
question,279,279,127,63.5,0.197226274708024
bag,277,277,100,50,0.301029995663981
dad,277,277,113,56.5,0.247951552180562
silver,276,276,119,59.5,0.22548303427145
ten,276,276,120,60,0.221848749616356
wood,274,274,65,32.5,0.488116639021126
filch,274,274,58,29,0.537602002101044
exactly,273,273,140,70,0.154901959985743
surprise,272,272,138,69,0.161150909262745
noise,272,272,134,67,0.173925197299174
spot,271,271,140,70,0.154901959985743
master,271,271,75,37.5,0.425968732272281
join,270,270,135,67.5,0.170696227168975
nod,269,269,137,68.5,0.164309428507574
live,268,268,123,61.5,0.211124884224583
anyway,268,268,121,60.5,0.218244625347531
usual,267,267,127,63.5,0.197226274708024
seize,265,265,125,62.5,0.204119982655925
vanish,264,264,132,66,0.180456064458131
four,263,263,121,60.5,0.218244625347531
five,263,263,122,61,0.214670164989233
tear,263,263,118,59,0.229147988357856
remain,263,263,125,62.5,0.204119982655925
held,262,262,141,70.5,0.151810883008601
forest,262,262,74,37,0.431798275933005
gaze,261,261,123,61.5,0.211124884224583
attempt,261,261,109,54.5,0.263603497723358
world,260,260,127,63.5,0.197226274708024
entrance,260,260,116,58,0.236572006437063
parchment,260,260,92,46,0.337242168318426
green,260,260,114,57,0.244125144327509
pocket,259,259,124,62,0.207608310501746
push,258,258,130,65,0.187086643357144
pick,257,257,136,68,0.167491087293764
manage,257,257,134,67,0.173925197299174
lost,257,257,128,64,0.193820026016113
breath,256,256,131,65.5,0.183758700008217
kitchen,256,256,70,35,0.455931955649724
fact,255,255,123,61.5,0.211124884224583
roar,255,255,109,54.5,0.263603497723358
white,255,255,128,64,0.193820026016113
plan,253,253,101,50.5,0.296708621881339
tiny,252,252,129,64.5,0.190440285364732
grin,252,252,122,61,0.214670164989233
lay,252,252,126,63,0.200659450546418
lockhart,252,252,23,11.5,0.939302159646388
krum,252,252,30,15,0.823908740944319
moving,251,251,120,60,0.221848749616356
jump,251,251,133,66.5,0.177178354696895
either,250,250,137,68.5,0.164309428507574
arrive,249,249,128,64,0.193820026016113
